# TRP			TYR			PHE			HIS			LEU			ILE			MET			VAL			ALA			CYS			GLY			PRO			THR			ASN			SER			GLN			ARG			LYS			ASP			GLU
1.164062499999999993e-02 1.281250000000000054e-03 1.609375000000000128e-03 3.125000000000000065e-05 2.404687500000000228e-02 1.000000000000000021e-03 7.187499999999999879e-04 8.749999999999999098e-04 3.593749999999999939e-04 3.281250000000000312e-03 8.593750000000000043e-04 2.609374999999999716e-03 1.546875000000000073e-03 1.546875000000000073e-03 7.437500000000000534e-03 5.125000000000000215e-03 5.234374999999999445e-03 1.968750000000000014e-03 5.968750000000000097e-03 1.390624999999999934e-03
1.998437499999999867e-02 7.812500000000000000e-03 3.879687499999999456e-02 1.823437499999999711e-02 1.532812500000000147e-02 8.265624999999998668e-03 5.578124999999999750e-03 7.171874999999999431e-03 1.578125000000000101e-03 3.279687500000000311e-02 2.609374999999999716e-03 4.093750000000000167e-03 6.218750000000000319e-03 1.168749999999999997e-02 6.031250000000000153e-03 1.021874999999999867e-02 7.718749999999999917e-03 1.953125000000000000e-03 4.637499999999999956e-02 1.818750000000000228e-02
3.151562500000000544e-02 1.581250000000000017e-02 2.798437499999999883e-02 1.078125000000000090e-03 1.329687499999999967e-02 2.679687499999999778e-02 2.040625000000000078e-02 1.745312499999999989e-02 1.048437500000000064e-02 2.314062500000000147e-02 1.546875000000000073e-03 6.218750000000000319e-03 1.160937499999999990e-02 1.443749999999999895e-02 5.921875000000000056e-03 1.320312499999999958e-02 1.962500000000000008e-02 3.390624999999999976e-03 4.028124999999999761e-02 3.276562499999999961e-02
5.012500000000000289e-02 1.152187500000000087e-01 7.607812499999999645e-02 2.437499999999999997e-03 2.765625000000000028e-02 2.960937500000000028e-02 1.954687499999999828e-02 7.840624999999999678e-02 6.671874999999999854e-03 1.352031250000000073e-01 1.546875000000000073e-03 1.168749999999999997e-02 1.443749999999999895e-02 4.860937500000000328e-02 9.109374999999999417e-03 2.923437499999999994e-02 2.110937499999999967e-02 3.296874999999999892e-03 7.517187499999999911e-02 1.895312500000000122e-02
4.971874999999999906e-02 7.312499999999999556e-03 7.312499999999999556e-03 2.968749999999999926e-04 5.803124999999999950e-02 7.109375000000000243e-03 3.484374999999999625e-03 8.171874999999998584e-03 1.968750000000000014e-03 1.071874999999999911e-02 7.437500000000000534e-03 6.031250000000000153e-03 5.921875000000000056e-03 9.109374999999999417e-03 2.370312499999999850e-02 1.490624999999999936e-02 3.757812500000000389e-02 2.015625000000000056e-02 1.784374999999999850e-02 3.734374999999999847e-03
6.593749999999999785e-03 2.095312499999999953e-02 1.617187500000000222e-02 9.375000000000000195e-05 1.210937500000000035e-02 1.062500000000000076e-03 8.484374999999998862e-03 1.770312500000000011e-02 3.281249999999999662e-04 2.446875000000000092e-02 5.125000000000000215e-03 1.021874999999999867e-02 1.320312499999999958e-02 2.923437499999999994e-02 1.490624999999999936e-02 1.109374999999999901e-03 1.373437500000000006e-02 2.984375000000000049e-03 4.296875000000000347e-03 5.000000000000000104e-04
6.315624999999999711e-02 2.865625000000000117e-02 4.009374999999999745e-02 4.078125000000000153e-03 5.506250000000000033e-02 9.968750000000000180e-03 2.143749999999999822e-02 3.060937500000000117e-02 1.078125000000000090e-03 4.390624999999999389e-02 5.234374999999999445e-03 7.718749999999999917e-03 1.962500000000000008e-02 2.110937499999999967e-02 3.757812500000000389e-02 1.373437500000000006e-02 1.689062499999999939e-02 9.937499999999998418e-03 2.814062500000000244e-02 4.859374999999999979e-03
3.287500000000000144e-02 2.624999999999999729e-03 7.421874999999999653e-03 1.093750000000000023e-04 4.109374999999999833e-02 1.468750000000000003e-03 7.187499999999999879e-04 3.703124999999999820e-03 2.343749999999999913e-04 5.000000000000000104e-03 1.968750000000000014e-03 1.953125000000000000e-03 3.390624999999999976e-03 3.296874999999999892e-03 2.015625000000000056e-02 2.984375000000000049e-03 9.937499999999998418e-03 2.656250000000000191e-04 1.062499999999999903e-02 1.578125000000000101e-03
1.575000000000000011e-02 5.703125000000000555e-02 6.453124999999999833e-02 2.125000000000000153e-03 2.025000000000000064e-02 1.568750000000000006e-02 5.764062500000000089e-02 3.340624999999999845e-02 1.578125000000000101e-03 6.354687500000000266e-02 5.968750000000000097e-03 4.637499999999999956e-02 4.028124999999999761e-02 7.517187499999999911e-02 1.784374999999999850e-02 4.296875000000000347e-03 2.814062500000000244e-02 1.062499999999999903e-02 4.953125000000000062e-03 5.093750000000000187e-03
4.781249999999999910e-03 1.126562500000000133e-02 2.753125000000000017e-02 1.718749999999999900e-04 5.859375000000000000e-03 1.265625000000000040e-03 2.921875000000000167e-02 9.828125000000000056e-03 2.187500000000000046e-04 1.978125000000000022e-02 1.390624999999999934e-03 1.818750000000000228e-02 3.276562499999999961e-02 1.895312500000000122e-02 3.734374999999999847e-03 5.000000000000000104e-04 4.859374999999999979e-03 1.578125000000000101e-03 5.093750000000000187e-03 1.875000000000000039e-04
